N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Simulated Annealing,,48,,True,N_scaling,100.0,0.0,0.0,2.3265622218935,0.6913681864853688,0.013788700001896359,-0.14693784234922477
6,3,Standard QAOA,3.0,48,0.0,True,N_scaling,94.86199083080446,0.0,0.0,2.3265622218935,0.6913681864853688,0.3269890999945346,-0.14693784234922477
6,3,XY-QAOA,3.0,48,,True,N_scaling,100.0,0.0,0.0,2.3265622218935,0.6913681864853688,0.3050328000099398,-0.14693784234922477
6,3,XY-QAOA Regularized,3.0,48,0.0,True,N_scaling,99.99999999999993,0.0,0.0,2.3265622218935,0.6913681864853688,0.31681960000423715,-0.14693784234922477
6,3,Gurobi,,49,,True,N_scaling,100.0,0.0,0.0,3.050240173108505,0.7662045524457204,0.004537600005278364,-0.20505109416655715
6,3,Simulated Annealing,,49,,True,N_scaling,100.0,0.0,0.0,3.050240173108505,0.7662045524457204,0.01312319999851752,-0.20505109416655715
6,3,Standard QAOA,3.0,49,0.0,True,N_scaling,89.63897483362003,66.23940641285874,66.23940641285874,1.2218233423485165,-0.027556551816715586,0.29508560000977013,-0.06922646654755767
6,3,XY-QAOA,3.0,49,,True,N_scaling,100.0,12.880063489319705,12.880063489319705,2.5448567464608036,0.5915881582187121,0.28854609999689274,-0.17864038305235985
6,3,XY-QAOA Regularized,3.0,49,0.0,True,N_scaling,99.99999999999999,0.0,0.0,3.050240173108505,0.7662045524457204,0.3179671999969287,-0.20505109416655715
6,3,Gurobi,,50,,True,N_scaling,100.0,0.0,0.0,1.9219076669821187,0.14355005818926336,0.0037773000076413155,-0.14599229448130002
6,3,Simulated Annealing,,50,,True,N_scaling,100.0,0.0,0.0,1.9219076669821187,0.14355005818926336,0.012321399990469217,-0.14599229448130002
6,3,Standard QAOA,3.0,50,0.0,True,N_scaling,93.31847934350799,0.0,0.0,1.9219076669821187,0.14355005818926336,0.32019700000819284,-0.14599229448130002
6,3,XY-QAOA,3.0,50,,True,N_scaling,100.0,37.97864263508196,37.97864263508196,1.1035948107922364,-0.5528821478501348,0.3121071000059601,-0.0905464026854906
6,3,XY-QAOA Regularized,3.0,50,0.0,True,N_scaling,100.0,23.948127681015833,23.948127681015833,1.5718297444004203,0.3997679680623196,0.3264694000099553,-0.11102987339447366
6,3,Gurobi,,51,,True,N_scaling,100.0,0.0,0.0,2.1957582355278045,0.8463111051409787,0.0038509000005433336,-0.19595001877044815
6,3,Simulated Annealing,,51,,True,N_scaling,100.0,0.0,0.0,2.1957582355278045,0.8463111051409787,0.014214700000593439,-0.19595001877044815
6,3,Standard QAOA,3.0,51,0.0,True,N_scaling,97.23951105399713,69.90863895103713,69.90863895103713,1.1981316285004748,-0.25021275071541693,0.15218109999841545,-0.058964027623726066
6,3,XY-QAOA,3.0,51,,True,N_scaling,100.0,6.208973146600724,6.208973146600724,2.2860535364190344,0.8518805865379655,0.3143305999983568,-0.18378353472423195
6,3,XY-QAOA Regularized,3.0,51,0.0,True,N_scaling,100.00000000000004,6.208973146600724,6.208973146600724,2.2860535364190344,0.8518805865379655,0.31761959999857936,-0.18378353472423195
6,3,Gurobi,,52,,True,N_scaling,100.0,0.0,0.0,2.4132284916491757,0.7068194973913805,0.004499000002397224,-0.1833792164988461
6,3,Simulated Annealing,,52,,True,N_scaling,100.0,0.0,0.0,2.4132284916491757,0.7068194973913805,0.012276299996301532,-0.1833792164988461
