,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
BBVA.MC,0.01994059741207251,0.017431773847362986,0.016989428293385265,0.01828749977569135,0.014213934588757051,0.034470433700254835,0.020427888553697128,0.02413133717538344,0.024303619756570524,0.017521420427138792,0.02567266052543595,0.012812943550680843,0.013001799464617173,0.002265880891864368,0.004069327810861063,0.0036897219158036638,0.006689523870085454,0.006088137570051821,0.008464403428797824,0.013192074276182169,0.0518170482271548,0.05727477270007654,0.022240081591715533,0.019222069208891523,0.0196179322905102,-0.0010479755039706866,0.054801191849700455,0.06353096745944947,0.023990982449566958,0.005441438504285364,0.021983813319202287,0.021576584683248107,0.038099092339116486,0.024247427083551206,0.022143897820100674,0.016395800975495613,0.0073449833226830775,0.0049625921575425554,0.0037438445026796298,0.015107140109125785
TEF.MC,0.01082926274181284,0.009324081613766862,0.010147782937725943,0.00861693869365318,0.006570198080294023,0.017950972816517155,0.008980814200668185,0.011823150041050506,0.012203668010283929,0.005732268736945547,0.01388094024709957,0.00898483702700439,0.006950738600331285,0.003271764376246718,0.0044359646080083985,0.004993206827909241,0.005212528153874799,0.005233946445789199,0.005264814545710474,0.0073591570776481196,0.024697495265892044,0.022240081591715533,0.029275986147747648,0.01188188316096086,0.014438736066167034,0.005406564158095238,0.02122039175470871,0.024201747437696975,0.016260162906288136,0.0071038430341075565,0.010969966092235522,0.012388282664934958,0.017646756178691315,0.01039980618637546,0.011722936975830284,0.009863618506638389,0.005555908883922713,0.0021684359012774704,0.0032190399716115732,0.009892921670952256
ITX.MC,0.014976475693290074,0.014430351175845381,0.01153033504024984,0.01374483670496976,0.008260374458038108,0.027085885477104797,0.006663543702580887,0.019579198987984967,0.016534043433629953,0.012856199555300945,0.010556185993889838,0.013098132741543013,0.015221804802480483,0.007044775029196159,0.005519021131594668,0.00747974241062435,0.00492905713609468,0.007146463907703634,0.004315097633271205,0.011977913497054326,0.01744640891902933,0.019222069208891523,0.01188188316096086,0.043960805516749,0.01548630421444791,0.006603837338698637,0.01698696348126571,0.01801966043383334,0.01567845379165449,0.008397042653887724,0.014130338331836032,0.018512545206481688,0.030090451165636634,0.017953112181930984,0.017923656474918823,0.012651957376255964,0.008511401783280557,0.010213005598101305,0.008586633705134022,0.008240113108231717
REP.MC,0.01551883460678549,0.013862062933405934,0.011282494098194588,0.013562608607250776,0.01322744322395196,0.030178571588849453,0.012058285193024517,0.01902477969410061,0.016541845703585512,0.011349331913897087,0.015871466632663672,0.008681373902233787,0.011825356356960864,-0.0011009653621221476,0.0018791132174496117,0.0023202762479637875,0.0060035219957921965,0.0033268001687770626,0.004899477841801177,0.009501328674966187,0.022692546269818092,0.0196179322905102,0.014438736066167034,0.01548630421444791,0.035777723380863206,0.004267321365573362,0.018913942427376953,0.022335355508742903,0.01985464319769735,0.003793832341423316,0.01901847879048294,0.018365569134207855,0.027454747322442418,0.015647231350562674,0.018177152977279464,0.013102830838666452,0.006061284967341082,0.0031743880267067915,0.0012100614406407738,0.011317996287600942
IBE.MC,0.0023329497331554994,0.005743646752165729,-0.00015955547446544236,0.002356173923527694,0.0025449756157040664,0.002317736222395838,-0.005394117481641661,0.0010023359077043477,0.0015031935633232358,0.003067534831224363,-0.0009540043231842828,0.003631497804367672,0.005691776283762771,0.004288640305209909,0.006172216297506882,0.005940287650386924,0.0028956972741647404,0.004074397673374973,0.001310325124424505,0.003949593045570236,-0.0006208942810170361,-0.0010479755039706866,0.005406564158095238,0.006603837338698637,0.004267321365573362,0.019469759182257802,-0.006406222455826907,-0.008030930299949517,0.00415552263161506,0.008575812197095576,0.001276300224854508,0.004116788413746485,0.001233201889015697,-0.004924436887351375,0.0030595276314625435,0.0027798403220031394,0.0050094447832733716,0.005077149531637355,0.005162832150770522,0.0044745549970945115
CABK.MC,0.016696747979712066,0.014089716143970726,0.01548026286253671,0.022212178706785633,0.01526064011203222,0.029396595798345172,0.022114014736682043,0.015482141129764744,0.019694783445321804,0.013413379030663081,0.02726243796730901,0.005711909080288778,0.007818717109227559,-0.0016513916506445988,-0.0008549072229566953,0.0012398244389259547,0.00625495866757756,0.005405635820788095,0.006070803443019005,0.009943965478369489,0.05501195491628758,0.054801191849700455,0.02122039175470871,0.01698696348126571,0.018913942427376953,-0.006406222455826907,0.09706748353789879,0.09714345252275976,0.019981802454183163,0.0012711953035906348,0.022220907480163015,0.014367090977020104,0.042384759458602185,0.021037536856667018,0.013619783132178938,0.01255152105305743,0.0052730142988069465,-0.0020496728548410623,0.00046731321622943666,0.012930893453971073
SAB.MC,0.015425254307873693,0.016109503773150614,0.014581723922925623,0.02359599078059469,0.012124833676906165,0.03625313684374255,0.009148305842373475,0.020627438122887407,0.02234999953290345,0.01121767737423626,0.03239048787993371,0.006749409556665281,0.007551110965961895,-0.002055099207008525,-0.0017169257870802957,0.0024594857091275596,0.007331955946800961,0.007364842656168062,0.008786336132080474,0.01234003000207952,0.06723176004994114,0.06353096745944947,0.024201747437696975,0.01801966043383334,0.022335355508742903,-0.008030930299949517,0.09714345252275976,0.13526845926999093,0.02434126056479018,-7.784823462272392e-05,0.02411879571090833,0.011472650005836622,0.04097715276355173,0.02805974617710922,0.020530051956869442,0.016413160987477773,0.008647811897411515,-0.0010425698300040216,0.000979087239475806,0.016626329831933715
ACS.MC,0.01689452191949159,0.013920487800662825,0.013028190768240903,0.013685765222708562,0.013751647468996719,0.02369504136582233,0.008236019702903939,0.016286106847166193,0.019070519844165343,0.01332583901146474,0.014324963943239191,0.011330799799575832,0.012794212364932361,0.0048190598882370175,0.0034788291317147495,0.005678029633017528,0.006575365607431197,0.005577263113637497,0.0036600300298904173,0.012067371947612973,0.026336018677191066,0.023990982449566958,0.016260162906288136,0.01567845379165449,0.01985464319769735,0.00415552263161506,0.019981802454183163,0.02434126056479018,0.0454246898298512,0.013651276994120084,0.018604968439734578,0.0166707607436669,0.027273419377262745,0.010984756465724693,0.016506695519217216,0.013666814373264544,0.005189958340851406,0.007686173079669981,0.0030721890621173862,0.011228707188251892
FER.MC,0.005752939042193603,0.009358146906825699,0.008497602679917301,0.00803676097917724,0.007770165219162822,0.010782212925081112,-0.001795617115485491,0.008683977366617914,0.008707495348424646,0.00924051672667633,0.0042020474421828186,0.009878048870958098,0.01231521914658128,0.00596757644165973,0.0051460490043306805,0.0066257191358953,0.002780207489680177,0.0036971358301670656,0.005665412644690038,0.003864005622407115,0.006154726288647476,0.005441438504285364,0.0071038430341075565,0.008397042653887724,0.003793832341423316,0.008575812197095576,0.0012711953035906348,-7.784823462272392e-05,0.013651276994120084,0.026142263499598983,0.0020699693892774523,0.007413182544422932,0.012934595516031587,0.006174868282744909,0.008559499236288999,0.007066386311724065,0.0054119180826493665,0.009546894037654642,0.006764819909045284,0.006312869816955149
NFLX,0.033576545665946166,0.032433944653541574,0.03596295513176899,0.04122313986965612,0.03930379751795278,0.05757651277382996,0.04848985400543771,0.02105985395765003,0.025021594398173023,0.037033131351932064,0.017001030207735964,0.02340656850824518,0.02875916105713232,0.005586057803753672,0.0027141876445816128,0.0073608285770397994,0.016534222888381755,0.006563704362431107,0.00921597292003331,0.014896172828566813,0.02163398971972091,0.021983813319202287,0.010969966092235522,0.014130338331836032,0.01901847879048294,0.001276300224854508,0.022220907480163015,0.02411879571090833,0.018604968439734578,0.0020699693892774523,0.11719848787149652,0.027182143619477586,0.06938302214337431,0.0323003560779808,0.031868219621110604,0.01753648043320932,0.015028666335112087,0.015307540422132157,0.010794181495768534,0.017130372851905936
INTC,0.03850886750483379,0.027027915336265543,0.023792488583383998,0.02384436066837803,0.024652107565398703,0.06680695863800075,0.04962752857758752,0.04156030998703699,0.02978294744212431,0.022094234154550092,0.02238340018929265,0.0222442162745286,0.025436035448288204,0.006035990195255771,0.004626899378273334,0.009345418229255203,0.008623565705880775,0.011026816027075306,0.013923091354173063,0.011067668171212535,0.021107328423157344,0.021576584683248107,0.012388282664934958,0.018512545206481688,0.018365569134207855,0.004116788413746485,0.014367090977020104,0.011472650005836622,0.0166707607436669,0.007413182544422932,0.027182143619477586,0.07190831771587494,0.05277562403389524,0.03949415071935906,0.043597630730046036,0.020912990102063003,0.010294238672156649,0.010101064812570682,0.006222518992068448,0.010905731039497064
AMD,0.06744323465842343,0.05500184246492551,0.05148465066408654,0.06455308096278879,0.055306513524781595,0.1349668247263046,0.06998721186666083,0.074311595972025,0.05313934209596643,0.05620797511477812,0.03579445789615351,0.04685272949291537,0.05927180726920037,0.01800279752667259,0.012581533692972437,0.017689613515109354,0.020406501499813993,0.012457633922281736,0.024415759290058243,0.0338573036871373,0.029607009093274947,0.038099092339116486,0.017646756178691315,0.030090451165636634,0.027454747322442418,0.001233201889015697,0.042384759458602185,0.04097715276355173,0.027273419377262745,0.012934595516031587,0.06938302214337431,0.05277562403389524,0.2704737820968559,0.054044747093011596,0.07550384399173166,0.03628905340573335,0.017240615847451735,0.033391857114163315,0.020120122860204596,0.030765625008607116
